US Electronic Short Form Leads
NAUT8002439827201601021913ELED00000100000075023940CUS-20595483               dseesf14aBMT
NAUT8002439827201601021914ELED00000100000008753732CUS-20595488               dseesf14aBMT
NAUT8002439827201601021914ELED00000100000048066586CUS-20595491               dseesf14aBMT
NAUT8002439827201601021914ELED00000100000060025773CUS-20595486               dseesf14aBMT
NAUT8002439827201601021914ELED00000100000060446630CUS-20595490               dseesf14aBMT
NAUT8002439827201601021915ELED00000100000011935631CUS-20595493               dseesf14aBMT
NAUT8002439827201601021915ELED00000100000017810CUS-20595494               dseesf14aBMT
NAUT8002439827201601021915ELED00000100000020740978CUS-20595496               dseesf14aBMT
NAUT8002439827201601021916ELED00000100000010469CUS-20595499               dseesf14aBMT
NAUT8002439827201601021916ELED00000100000034746407CUS-20595501               dseesf14aBMT
NAUT8002439827201601021916ELED00000100000039483601CUS-20595498               dseesf14aBMT
NAUT8002439827201601021917ELED00000100000010302718CUS-20595505               dseesf14aBMT
NAUT8002439827201601021917ELED00000100000011206646CUS-20595503               dseesf14aBMT
NAUT8002439827201601021917ELED00000100000093004CUS-20595504               dseesf14aBMT
NAUT8002439827201601021919ELED00000100000007642201CUS-20595519               dseesf14aBMT
NAUT8002439827201601021919ELED00000100000034481252CUS-20595518               dseesf14aBMT
NAUT8002439827201601021919ELED00000100000048042313CUS-20595522               dseesf14aBMT
NAUT8002439827201601021920ELED00000100000010469646CUS-20595524               dseesf14aBMT
NAUT8002439827201601021920ELED00000100000014201716CUS-20595527               dseesf14aBMT
NAUT8002439827201601021921ELED00000100000019134215CUS-20595533               dseesf14aBMT
NAUT8002439827201601021921ELED00000100000076073940CUS-20595537               dseesf14aBMT
NAUT8002439827201601021922ELED00000100000046819260CUS-20595540               dseesf14aBMT
NAUT8002439827201601021923ELED00000100000017520717CUS-20595545               dseesf14aBMT
NAUT8002439827201601021923ELED00000100000023518757CUS-20595551               dseesf14aBMT
NAUT8002439827201601021928ELED00000100000024361276CUS-20595582               dseesf14aBMT
NAUT8002439827201601021928ELED00000100000077077347CUS-20595584               dseesf14aBMT
NAUT8002439827201601021930ELED00000100000014217716CUS-20595595               dseesf14aBMT
NAUT8002439827201601021931ELED00000100000045331937CUS-20595598               dseesf14aBMT
NAUT8002439827201601021931ELED00000100000075165214CUS-20595600               dseesf14aBMT
NAUT8002439827201601021932ELED00000100000010027646CUS-20595604               dseesf14aBMT
NAUT8002439827201601021933ELED00000100000033710817CUS-20595605               dseesf14aBMT
NAUT8002439827201601021934ELED00000100000089031702CUS-20595613               dseesf14aBMT
NAUT8002439827201601021936ELED00000100000007080908CUS-20595623               dseesf14aBMT
NAUT8002439827201601021937ELED00000100000055438612CUS-20595627               dseesf14aBMT
NAUT8002439827201601021938ELED00000100000043311937CUS-20595629               dseesf14aBMT
NAUT8002439827201601021939ELED00000100000092508951CUS-20595634               dseesf14aBMT
NAUT8002439827201601021940ELED00000100000075154214CUS-20595638               dseesf14aBMT
NAUT8002439827201601021941ELED00000100000075052817CUS-20595643               dseesf14aBMT
NAUT8002439827201601021943ELED00000100000095948530CUS-20595652               dseesf14aBMT
NAUT8002439827201601021946ELED00000100000073099580CUS-20595670               dseesf14aBMT
NAUT8002439827201601021949ELED00000100000067501620CUS-20595690               dseesf14aBMT
NAUT8002439827201601021951ELED00000100000078222210CUS-20595706               dseesf14aBMT
NAUT8002439827201601021951ELED00000100000080504303CUS-20595702               dseesf14aBMT
NAUT8002439827201601021952ELED00000100000076107817CUS-20595714               dseesf14aBMT
NAUT8002439827201601021953ELED00000100000006791203CUS-20595718               dseesf14aBMT
NAUT8002439827201601021953ELED00000100000060619773CUS-20595721               dseesf14aBMT
NAUT8002439827201601021954ELED00000100000033426561CUS-20595733               dseesf14aBMT
NAUT8002439827201601021954ELED00000100000066218913CUS-20595729               dseesf14aBMT
NAUT8002439827201601021955ELED00000100000078415CUS-20595745               dseesf14aBMT
NAUT8002439827201601021957ELED00000100000078415361CUS-20595758               dseesf14aBMT
NAUT8002439827201601022032ELED00000100000080249303CUS-20595914               dseesf14aBMT
NAUT8002439827201601022033ELED00000100000085212480CUS-20595925               dseesf14aBMT
NAUT8002439827201601022036ELED00000100000037801865CUS-20595967               dseesf14aBMT
