US Short Form Leads
NAUT8009272229201601310738LEAD00000100000030019678CUS-20681970               ION*N120HKINGTICTRC
NAUT8009272229201601310744LEAD00000100000001430978CUS-20681973               ION*N120HKINGTICTRC
NAUT8009272229201601310803LEAD00000100000007407201CUS-20681978               ION*N120HKINGTICTRC
NAUT8009272229201601310840LEAD00000100000084054801CUS-20682173               ION*N120HKINGTICTRC
NAUT8009272229201601311034LEAD00000100000094533510CUS-20049843               ION*N120HKINGTICTRC
NAUT8009272229201601311036LEAD00000100000090001323CUS-20682620               ION*N120HKINGTICTRC
NAUT8009272229201601311045LEAD00000100000021821410CUS-20682655               ION*N120HKINGTICTRC
NAUT8009272229201601311046LEAD00000100000063301314CUS-20682661               ION*N120HKINGTICTRC
NAUT8009272229201601311055LEAD00000100000037762423CUS-20682694               ION*N120HKINGTICTRC
NAUT8009272229201601312241LEAD00000100000085373602CUS-20684801               ION*N120HKINGTICTRC
NAUT8009531045201601310623LEAD00000100000052501641CUS-20681835               DISMN60*J14FSTICBMT
NAUT8009531045201601310816LEAD00000100000063116314CUS-20682056               DISMN60*J14FSTICBMT
NAUT8009531045201601311051LEAD00000100000086512701CUS-20682679               DISMN60*J14FSTICBMT
NAUT8009531045201601311136LEAD00000100000074630580CUS-20682814               DISMN60*J14FSTICBMT
NAUT8009531045201601311325LEAD00000100000029488843CUS-20683271               DISMN60*J14FSTICBMT
NAUT8009531045201601311816LEAD00000100000059917406CUS-20662943               DISMN60*J14FSTICTRC
NAUT8009531097201601310238LEAD00000100000091355818CUS-20681741               IFC*N5MNHAMFSTICBMT
NAUT8009531097201601311801LEAD00000100000090247310CUS-20684283               IFC*N5MNHAMFSTICBMT
NAUT8009533017201601311634LEAD00000100000006511203CUS-20683931               AESPL60*HKINGTICTRC
NAUT8009533019201601310902LEAD00000100000063366636CUS-20682257               BANDN60*J14FSTICBMT
NAUT8009533019201601312137LEAD00000100000049424616CUS-20684737               BANDN60*J14FSTICBMT
