US Short Form Leads
NAUT8008711024201407210625LEAD00000100000042223270CUS-19612631               TNT*N60*GRT2HTICTRC
NAUT8008711024201407210625LEAD00000100000076641903CUS-19612630               TNT*N60*GRT2HTICTRC
NAUT8008711024201407210746LEAD00000100000030165706CUS-19612738               TNT*N60*GRT2HTICTRC
NAUT8009520878201407211037LEAD00000100000097115503CUS-19582240               USA*N60*GRT2HTICTRC
NAUT8009532169201407210722LEAD00000100000030080770CUS-19612702               HGTVN60*GRT2HTICTRC
NAUT8009532169201407210722LEAD00000100000036867706CUS-19612703               HGTVN60*GRT2HTICTRC
NAUT8009532169201407210723LEAD00000100000011236347CUS-19612704               HGTVN60*GRT2HTICTRC
NAUT8009532169201407211026LEAD00000100000098391253CUS-19613050               HGTVN60*GRT2HTICTRC
NAUT8009532169201407211154LEAD00000100000045309937CUS-19613220               HGTVN60*GRT2HTICTRC
NAUT8009532169201407211159LEAD00000100000040211502CUS-19613229               HGTVN60*GRT2HTICTRC
NAUT8009532169201407211506LEAD00000100000098092253CUS-19613561               HGTVN60*GRT2HTICTRC
NAUT8009532970201407210752LEAD00000100000078109210CUS-19612754               VEL*N120GENTSTICTRC
NAUT8009532970201407210936LEAD00000100000085614520CUS-19612949               VEL*N120GENTSTICTRC
NAUT8009532970201407211200LEAD00000100000076437254CUS-19613235               VEL*N120GENTSTICTRC
NAUT8009532970201407211258LEAD00000100000033938941CUS-19514229               VEL*N120GENTSTICTRC
NAUT8009532970201407211259LEAD00000100000063143314CUS-19613362               VEL*N120GENTSTICTRC
NAUT8009532970201407211335LEAD00000100000011783516CUS-19613428               VEL*N120GENTSTICTRC
NAUT8009532970201407211354LEAD00000100000090063323CUS-19613456               VEL*N120GENTSTICTRC
NAUT8009532970201407211510LEAD00000100000001453978CUS-19613565               VEL*N120GENTSTICTRC
NAUT8009532970201407211547LEAD00000100000001107413CUS-19613658               VEL*N120GENTSTICTRC
NAUT8009532970201407212251LEAD00000100000043315740CUS-19614493               VEL*N120GENTSTICTRC
NAUT8009532970201407212255LEAD00000100000060466708CUS-19614501               VEL*N120GENTSTICTRC
